dataset,record_id,mean,std,variance,min,max,median,rms,peak_to_peak,crest_factor,skewness,kurtosis,q25,q75,iqr,env_mean,env_std,env_max,env_min,total_power,power_mean,power_std,dominant_freq,data_length,shaftSpeed,samplingRate,range,reconstruction_mse,anomaly
AGR.361,50,-0.0011341747152942,0.2367118555858442,0.0560325025748935,-0.70951605,0.75053406,-0.0014648438,0.2367145726971163,1.46005011,3.1706288778440843,0.0902084068236345,-0.5587436234973175,-0.18213987,0.17139721,0.35353708,0.3034304829975077,0.1414080389863713,0.8181423672690348,0.0039729442676893,60331186.56432303,1838.6367160675047,96064.46112503174,0.1008746533386158,32813,0.0,3125.0,1.46005011,0.004378779224626838,False
AGR.361,51,-0.0011651583080044,0.2316538449742048,0.0536635038913329,-0.68021727,0.76811314,-0.0073246956,0.2316567751765866,1.44833041,3.315737860092738,0.125050402643685,-0.443625810405567,-0.17335033,0.16358376,0.3369340899999999,0.2957134164658355,0.1410033357713634,0.7754546233897797,0.001371742169845,57780579.04349055,1760.90509991438,87406.62507925605,0.1008137018864474,32813,0.0,3125.0,1.44833041,0.004102828793119779,False
AGR.361,52,-0.0011379546071633,0.2363564185993857,0.055864356613128,-0.67826414,0.77690315,-0.004395008,0.2363591579647719,1.45516729,3.2869602205800423,0.0941360848136341,-0.5974092415808183,-0.18213987,0.17335033,0.3554902,0.3027785513286815,0.1416162314928945,0.8340893970085461,0.0005479630951951,60150154.23659765,1833.1196244353653,75055.34062286215,0.1009051290646999,32813,0.0,3125.0,1.45516729,0.003936078170070591,False
AGR.361,53,-0.0011249983050271,0.2231503826129897,0.0497960932603237,-0.7280717,0.7544403,-0.0087895395,0.223153218398279,1.4825119999999998,3.380817473371552,0.1324574678406814,-0.4776083245155633,-0.16846752,0.15870094,0.32716846,0.2845268657796868,0.1365207478458183,0.7675600582750455,0.0036800909610181,53613198.23081494,1633.9509396201067,76612.28355288877,0.1007558210410825,32812,0.0,3125.0,1.4825119999999998,0.010480832250461267,False
AGR.361,54,-0.0011055127984746,0.2375451776547028,0.0564277114270043,-0.71439934,0.8433132,-0.013184547,0.2375477501167963,1.55771254,3.5500786666485538,0.1888812945102079,-0.4338945439117689,-0.17823362,0.16358376,0.34181738,0.3030672908007211,0.1449374425718467,0.8437817252664876,0.002319998971325,60756636.039731696,1851.6025977427144,59569.43012193783,0.1007832261603632,32813,0.0,3125.0,1.55771254,0.015401376009928736,False
AGR.361,55,-0.0011375674183509,0.2594724436285863,0.0673259490025899,-0.69095993,0.7290487,0.0073242188,0.2594749372525624,1.42000863,2.809707587636387,0.0053920227815535,-1.0609644941430214,-0.22511148,0.21729851,0.44240999,0.3407379393792466,0.1362015004777698,0.8302410775020747,0.0017849709407211,72490769.2272476,2209.2088266006645,181224.26297063247,0.1008137018864474,32813,0.0,3125.0,1.42000863,0.046901476230038305,False
AGR.361,56,-0.001115156837444,0.2255778278026959,0.0508853563961827,-0.6968198,0.8325701,-0.0073246956,0.2255805842065199,1.5293899,3.690787941384967,0.128734998806695,-0.583582229870105,-0.17530346,0.16553783,0.3408412899999999,0.2891269971512585,0.1348240923775631,0.8354589735228922,0.0025322214731858,54789244.40504265,1669.7420048469403,77295.98259076795,0.1008746533386158,32813,0.0,3125.0,1.5293899,0.02916139933707599,False
AGR.361,57,-0.0011045204299676,0.2243406631442399,0.0503287331399973,-0.6304097,0.6558018,0.0034179688,0.2243433821296665,1.2862114999999998,2.923205461977738,0.0351584019531959,-0.8388753362907693,-0.18702316,0.17628002,0.36330318,0.2911176434188236,0.1261316926221865,0.75102129620456,0.000613754900091,54186603.73548721,1651.426421293649,77658.16840330217,0.1008777276606119,32812,0.0,3125.0,1.2862114999999998,0.023929320572986364,False
AGR.361,58,-0.0011071712655674,0.2459006328044476,0.0604671212136277,-0.71244574,0.863822,-0.0073246956,0.2459031253193807,1.57626774,3.5128549052723987,0.1203562052355748,-0.6423857159964239,-0.19288301,0.18214035,0.37502336,0.315159457280446,0.1470033494203925,0.8640103215067185,0.0034940371364058,65101875.87172544,1984.087403136823,80895.9201100428,0.1009386809703766,32812,0.0,3125.0,1.57626774,0.01142846994378563,False
AGR.361,59,-0.0011478363116051,0.2132831331783602,0.0454896948983781,-0.6118536,0.8130379,-0.0073246956,0.2132862218395187,1.4248915,3.811956970252621,0.1600120539352101,-0.5199579187417998,-0.16553736,0.15284157,0.31837893,0.2731667881423346,0.1279086126144576,0.8234150121369596,0.0023027081315993,48979853.23238642,1492.6965907532508,76530.61347038527,0.1008746533386158,32813,0.0,3125.0,1.4248915,0.013925756412935638,False
