dataset,record_id,rms,peak_to_peak,skewness,kurtosis,qcd,reconstruction_mse,is_anomaly
BIS.361,65,0.10681656,0.77641106,-0.026730306,-0.29422711,-80.802888,0.6941286515692314,False
BIS.361,66,0.098764071,0.73054385,-0.085036403,-0.24496973,-186.55434,1.1006348296765558,False
BIS.361,67,0.11810197,0.79971433,0.022546557,-0.33895026,-55.877893,0.4424555191505773,False
BIS.361,68,0.1124824,0.82486724,0.029031048,-0.28588776,-52.877743,0.4194091449207372,False
BIS.361,69,0.11134958,0.80600262,0.012937444,-0.22477924,-51.877572,0.4522089413711112,False
BIS.361,70,0.11603959,0.83781361,0.025135742,-0.27850355,-54.377866,0.3992242986574594,False
BIS.361,71,0.11042407,0.9018054,0.059932477,-0.27110618,-37.456706,0.3381277806787536,False
BIS.361,72,0.11741829,0.84928036,0.034977617,-0.3258006,-49.111492,0.39686194413227305,False
BIS.361,73,0.10949709,0.79194664,0.020884882,-0.2781876,-51.37762,0.4671211521332802,False
BIS.361,74,0.1046244,0.75680637,-0.016960244,-0.26971763,-65.505164,0.6510775845209366,False
BIS.361,75,0.117847,0.81192088,0.058989509,-0.27770889,-49.111492,0.3226470437844665,False
